Year; Year (each ant moves once a year on average)
		x
		Amount of food collected
0; 0
0; 0
1; 0
2; 0
4; 0
5; 0
6; 0
8; 0
9; 0
10; 0
12; 0
13; 0
14; 0
16; 0
17; 0
18; 0
20; 0
21; 0
22; 0
24; 0
25; 0
26; 0
28; 0
29; 0
30; 0
32; 0
33; 0
34; 0
36; 0
37; 0
38; 0
40; 0
41; 0
42; 0
44; 0
45; 0
46; 0
48; 0
49; 0
50; 0
52; 0
53; 0
54; 0
56; 0
57; 0
58; 0
60; 0
61; 0
62; 1
64; 1
65; 1
66; 1
68; 1
69; 1
70; 1
72; 1
73; 1
74; 1
76; 1
77; 1
78; 1
80; 1
81; 1
82; 1
84; 1
85; 1
86; 2
88; 2
89; 2
90; 2
92; 2
93; 3
94; 4
96; 4
97; 5
98; 5
100; 6
101; 6
102; 7
104; 8
105; 8
106; 8
108; 8
109; 8
110; 8
112; 8
113; 8
114; 8
116; 8
117; 8
118; 8
120; 8
121; 8
122; 8
124; 8
125; 8
126; 8
128; 8
129; 8
130; 8
132; 8
133; 8
134; 8
136; 8
137; 8
138; 9
140; 9
141; 10
142; 10
144; 10
145; 10
146; 10
148; 10
149; 11
150; 12
152; 12
153; 13
154; 13
156; 13
157; 13
158; 13
160; 14
161; 14
162; 14
164; 15
165; 15
166; 15
168; 15
169; 16
170; 16
172; 17
173; 17
174; 17
176; 19
177; 19
178; 19
180; 19
181; 19
182; 19
184; 19
185; 19
186; 19
188; 19
189; 19
190; 19
192; 19
193; 19
194; 19
196; 19
197; 19
198; 19
200; 19
201; 19
202; 19
204; 19
205; 19
206; 19
208; 19
209; 19
210; 19
212; 19
213; 19
214; 19
216; 19
217; 19
218; 19
220; 19
221; 19
222; 19
224; 19
225; 19
226; 19
228; 19
229; 19
230; 19
232; 19
233; 19
234; 19
236; 19
237; 19
238; 19
240; 19
241; 19
242; 19
244; 19
245; 19
246; 19
248; 19
249; 19
250; 19
252; 19
253; 19
254; 19
256; 19
257; 19
258; 19
260; 19
261; 19
262; 19
264; 19
265; 19
266; 19
268; 19
269; 19
270; 19
272; 19
273; 19
274; 19
276; 19
277; 19
278; 19
280; 19
281; 19
282; 19
284; 19
285; 19
286; 19
288; 19
289; 19
290; 19
292; 19
293; 20
294; 20
296; 20
297; 20
298; 20
300; 21
301; 21
302; 21
304; 21
305; 21
306; 21
308; 21
309; 21
310; 21
312; 21
313; 21
314; 21
316; 22
317; 22
318; 22
320; 22
321; 22
322; 22
324; 22
325; 22
326; 22
328; 22
329; 22
330; 22
332; 22
333; 22
334; 22
336; 22
337; 22
338; 22
340; 22
341; 22
342; 22
344; 22
345; 22
346; 22
348; 22
349; 22
350; 22
352; 22
353; 22
354; 22
356; 22
357; 22
358; 22
360; 22
361; 22
362; 22
364; 22
365; 22
366; 22
368; 22
369; 22
370; 22
372; 22
373; 22
374; 22
376; 22
377; 22
378; 22
380; 22
381; 22
